1;"Reforma e adaptação do Estádio Magalhães Pinto (Mineirão)";1;6;;TRUE;TRUE;"O Estádio do Mineirão, Governador Magalhães Pinto, pertencente ao Governo do Estado de Minas Gerais, será reformado para a Copa 2014, adequando-se aos padrões definidos pela Fifa (Federação Internacional de Futebol). De acordo com a Secretaria Extraordinária da Copa do Mundo (Secopa/MG), o projeto de reforma prevê obras para aumentar a segurança e o conforto do torcedor, tais como: rebaixamento do campo, proporcionando aumento da visibilidade novos vestiários recuperação estrutural do estádio, criação de novos acessos à arena, entre outras ações. Após a execução destas obras, o Mineirão apresentará os seguintes números referentes à sua estrutura: - Capacidade: 64 mil torcedores. - Cobertura: projeto da Cemig permitirá captação de energia solar e posterior geração de energia elétrica. - Espaço VIP e Camarotes: restaurante panorâmico e 90 camarotes privativos. - Estacionamento: 2.000 vagas cobertas e 600 descobertas. - Lanchonetes e sanitários: 68 banheiros e 28 lanchonetes. - Entorno: Uma grande esplanada para até 50.000 pessoas, que vai transformar o Mineirão em arena multiuso e aberto 24h. - Imprensa: Capacidade para 2.955 jornalistas, mil mesas de trabalho equipadas com monitores e telefones, além de 480 lugares para comentaristas. Haverá estúdios de transmissão, sala de conferência e área para entrevistas. - Subsolo: Escritórios, estúdios de TV, espaço para entrevistas, vestiários e outras instalações para os atletas. - Térreo: Portões amplos com catracas eletrônicas, praças de alimentação e banheiros. - Nova arquibancada inferior: 17.600 assentos localizados bem próximo ao gramado. - Nível 1: 6.676 assentos em arquibancada VIP, além de camarotes, centro operacional do estádio com salas de controle de som, iluminação e placares. - Nível 2: 40.400 assentos com banheiros e áreas de alimentação que atenderão toda arquibancada superior. Importante ressaltar que uma das principais metas da obra de modernização do Mineirão é obter a certificação Leed (Leadership in Energy and Environmental Design), que atesta o estádio como um empreendimento ambientalmente sustentável. Para viabilizar a execução das obras de reforma e adequação do Complexo do Mineirão foi assinado um contrato de Parceria Público-Privada (PPP), na modalidade concessão administrativa, no dia 21/12/2010, com a empresa MINAS ARENA – GESTÃO DE INSTALAÇÕES ESPORTIVAS S.A.";2;TRUE;4;;"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13. Os valores referentes ao projeto executivo, auditoria e certificação ambiental estão incluídos no valor da contratação da PPP.";"Fonte: Resolução GECOPA nº 25, de 5 de novembro de 2013";1;8;695000000.00;;;15/01/2013;100;"Governo do Estado de Minas Gerais";;11;;;1;;
2;"Reforma do Estádio Nacional de Brasília";2;6;;TRUE;TRUE;"Segundo o Governo do Distrito Federal, o projeto de reforma do Estádio Mané Garrincha prevê uma cobertura em estrutura metálica, reforma das arquibancadas, eliminação da pista de atletismo, rebaixamento do gramado em quatro metros e estacionamentos no subsolo. Com a obra, a previsão é de que a capacidade da arena seja expandida de 45 mil para 71 mil espectadores. O estádio, localizado na área central de Brasília, fica a 15,7 quilômetros do Aeroporto Internacional Presidente Juscelino Kubitschek. As obras do entorno, no valor de R$400 milhões, não fazem parte da Matriz de Responsabilidades. Porém, o escopo é importante para a Copa (túneis e estacionamento) e serão finalizados até Mai/14.";2;TRUE;4;"Os valores referentes ao projeto executivo, certificação ambiental e comunicação visual externa e acústica estão incluídos no valor de obras do estádio. O valor considera os custos de: cobertura, assentos, gramado, sistema de drenagem e irrigação, placares eletrônicos/ telões, guarda corpo e corrimão, e o item ainda não contratado de comunicação visual interna (sinalização). Valor correspondente ao valor total da arena, porém até o momento foi desembolsado o montante de R$ 1.182 milhões Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";1;12;1403300000.00;;;31/10/2013;100;"5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";;7;;;1;;
3;"Construção da Arena Multiuso Pantanal";3;6;;TRUE;TRUE;"Obra executada pelo Governo do Estado de Mato Grosso, tendo em vista a realização da Copa do Mundo FIFA 2014 no Brasil, tendo Cuiabá como uma das cidades-sedes. O entorno adjacente ao estádio é composto por praças e rampas de acesso, túneis e restaurantes e estacionamentos.(área de intervenção da obra de 340.000 m²)";2;TRUE;4;"Os valores referentes à auditoria e certificação ambiental estão incluídos no valor das obras. Valor já considera os custos estimados de: cadeiras, placar e TIC. Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: Resolução GECOPA nº 25. de 5 de novembro de 2013.";"5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";2;110;570100000.00;;;31/03/2014;97;"Governo do Estado de Mato Grosso";;13;;;1;;
4;"Reforma do Estádio Governador Plácido Castelo (Castelão)";5;6;;TRUE;TRUE;"O entorno do estádio é composto por estacionamentos, prédio da Secretaria de Esportes e praças";3;TRUE;4;"Os valores referentes a projeto executivo, certificação ambiental e operação do estádio estão incluídos no valor das obras. Não inclui valores de gerenciamento. O valor também inclui operação do estádio por 8 anos. Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";2;120;518606000.00;;;16/12/2012;100;"Governo do Estado do Ceará";;6;;;1;;
5;"Reconstrução da Arena da Amazônia";6;6;;TRUE;TRUE;"O entorno do estádio é composto por esplanada e rampas de acesso";2;TRUE;4;"Os valores referentes ao projeto executivo estão incluídos no valor das obras. Os valores não incluem os itens ainda não contratados, tais como: reformas do sambódromo e ginásio e pavimentação de ruas do entorno  Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";2;109;669500000.00;;;21/05/2014;99;"Secretaria de Estado de Infraestrutura - SEINFRA";;3;;;1;;
6;"Construção da Arena das Dunas";7;6;;TRUE;TRUE;"O entorno do estádio é composto por estacionamento e vias internas.";2;TRUE;4;"Os valores referentes ao projeto executivo, parte do projeto básico, assentos temporários, auditoria e certificação ambiental estão incluídos no valor de obras. Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";1;112;400000000.00;;;30/09/2013;91;"5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";;20;;;1;;
7;"Construção da Arena Pernambuco";9;6;;TRUE;TRUE;"O entorno é composto por estacionamento e áreas de circulação.";2;TRUE;4;"Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"O valor do financiamento foi dividido em duas parcelas: Sub crédito A (R$ 5,4 mi) e Sub crédito B (R$ 394,6 mi)  Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";"Os valores referentes à auditoria estão incluídos no valor do gerenciamento da obra  Fonte: 5º Balanço da Copa publicado pelo Ministério do Esporte - ref. Out/13";1;119;532600000.00;;;15/05/2013;100;"Governo do Estado de Pernambuco";;16;;;1;;
8;"Terraplenagem do Terminal de Passageiros 3";12;1;5;TRUE;TRUE;;3;TRUE;4;"Empreendimento incluído pela Resolução GECOPA nº 7-2012. Valor previsto atualizado de acordo com  a revisão de dezembro de 2012 da Matriz de Responsabilidades";"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12.";"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12.";1;107;235510000.00;;;17/01/2013;100;"Concessionário";;26;;;5;;
9;"Reforma e Ampliação do Terminal de Passageiros e Adequação do Sistema Viário";5;1;11;TRUE;TRUE;;2;TRUE;4;"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12.";"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12. Alteração do valor conforme Resolução SN do GECOPA em 31.7.2013.";"Fonte: Resolução GECOPA nº 25, de 5 de novembro de 2013.";1;107;171110000.00;;;31/05/2014;16;"INFRAERO";;6;;;5;;
10;"Construção do Terminal de Passageiros, Sistema Viário de Acesso e Obras Complementares.";7;1;13;TRUE;TRUE;;2;TRUE;4;"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12.";"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12.";"Fonte: Balanço da Copa publicado pelo Ministério do Esporte - ref. Abr/12.";;107;383400000.00;;;;;;;20;;;5;;
